keyboard-click	Duration	Event	key-code
N	0.746042	false	10
N	0.278293	true	10
N	0.772165	false	10
N	0.586651	true	10
N	0.453790	false	10
N	0.608810	true	10
N	0.557863	false	10
N	0.127689	false	10
N	0.162674	false	10
N	0.894348	true	10
N	0.869301	false	10
N	0.479243	true	10
N	0.496186	false	10
N	0.089073	false	10
N	0.300205	false	10
N	0.622763	true	10
N	0.618765	false	10
N	0.758684	false	10
N	0.139957	true	10
N	0.999843	true	10
N	0.217194	false	10
N	0.229840	false	10
N	0.192205	true	10
N	0.745294	false	10
N	0.288708	false	10
N	0.977377	true	10
N	0.841568	true	10
N	0.649992	false	10
N	0.888429	true	10
N	0.577628	false	10
N	0.097876	false	10
N	0.225179	false	10
N	0.125164	true	10
N	0.119354	false	10
N	0.356225	true	10
N	0.183338	true	10
N	0.675360	true	10
N	0.900260	false	10
N	0.446642	false	10
N	0.762987	false	10
N	0.804209	false	10
N	0.991173	false	10
N	0.487072	true	10
N	0.886083	false	10
N	0.843256	false	10
N	0.207909	true	10
N	0.639437	false	10
N	0.100367	true	10
N	0.666664	true	10
N	0.823662	false	10
N	0.967847	false	10
N	0.171428	false	10
N	0.145489	false	10
N	0.599518	false	10
N	0.209059	false	10
N	0.485227	false	10
N	0.472922	false	10
N	0.010370	true	10
N	0.413290	false	10
N	0.539064	false	10
N	0.827703	false	10
N	0.313145	true	10
N	0.704188	false	10
N	0.690203	true	10
N	0.213802	false	10
N	0.854986	false	10
N	0.291130	false	10
N	0.148144	false	10
N	0.484035	true	10
N	0.263039	true	10
N	0.709304	true	10
N	0.487409	true	10
N	0.466238	false	10
N	0.077753	false	10
N	0.960851	false	10
N	0.838570	true	10
N	0.674806	true	10
N	0.300017	true	10
N	0.206600	true	10
N	0.316401	false	10
N	0.442260	false	10
N	0.344405	true	10
N	0.041790	true	10
N	0.494893	true	10
N	0.815803	false	10
N	0.019363	true	10
N	0.832049	false	10
N	0.343443	false	10
N	0.968705	false	10
N	0.734280	true	10
N	0.548258	false	10
N	0.156102	true	10
N	0.009178	true	10
N	0.529410	false	10
N	0.733305	false	10
N	0.895878	true	10
N	0.706520	true	10
N	0.590183	false	10
N	0.248884	false	10
N	0.295179	false	10
N	0.845109	false	10
N	0.240567	false	10
N	0.978085	true	10
N	0.060793	true	10
N	0.859128	false	10
N	0.649061	true	10
N	0.211433	true	10
N	0.498919	false	10
N	0.947047	false	10
N	0.903289	true	10
N	0.641847	true	10
N	0.130852	false	10
N	0.990861	false	10
N	0.245946	false	10
N	0.001962	true	10
N	0.519839	true	10
N	0.407664	false	10
N	0.824455	false	10
N	0.964676	false	10
N	0.045928	true	10
N	0.649240	false	10
N	0.491731	true	10
N	0.359816	true	10
N	0.413370	true	10
N	0.734085	false	10
N	0.591466	true	10
N	0.262176	false	10
N	0.726162	false	10
N	0.513464	false	10
N	0.404490	true	10
N	0.119992	false	10
N	0.818191	true	10
N	0.615527	false	10
N	0.675384	true	10
N	0.616041	false	10
N	0.461824	false	10
N	0.200701	true	10
N	0.760939	true	10
N	0.537594	true	10
N	0.119303	false	10
N	0.680013	false	10
N	0.157869	false	10
N	0.617035	true	10
N	0.980626	false	10
N	0.940705	true	10
N	0.151164	true	10
N	0.797992	false	10
N	0.862395	true	10
N	0.356674	false	10
N	0.793638	true	10
N	0.397938	true	10
N	0.068518	false	10
N	0.430504	false	10
N	0.461614	false	10
N	0.261600	false	10
N	0.499161	false	10
N	0.189822	false	10
N	0.518389	true	10
N	0.597616	false	10
N	0.867737	false	10
N	0.280668	false	10
N	0.943224	true	10
N	0.615988	true	10
N	0.108342	true	10
N	0.135723	false	10
N	0.971000	false	10
N	0.484623	true	10
N	0.529749	true	10
N	0.744371	false	10
N	0.655036	true	10
N	0.522353	true	10
N	0.716473	true	10
N	0.367809	false	10
N	0.288873	false	10
N	0.704527	false	10
N	0.648818	true	10
N	0.797661	true	10
N	0.701086	false	10
N	0.023392	false	10
N	0.891254	true	10
N	0.403497	false	10
N	0.813208	false	10
N	0.733102	true	10
N	0.322759	false	10
N	0.345928	false	10
N	0.930297	true	10
N	0.258316	false	10
N	0.045654	false	10
N	0.656645	true	10
N	0.664942	false	10
N	0.893271	true	10
N	0.310088	true	10
N	0.078897	true	10
N	0.367230	true	10
N	0.827161	true	10
N	0.549784	false	10
N	0.744380	true	10
N	0.498109	true	10
N	0.443228	false	10
N	0.293152	false	10
N	0.386239	false	10
N	0.664738	false	10
N	0.535513	false	10
N	0.802216	false	10
N	0.849399	false	10
N	0.892497	false	10
N	0.586577	true	10
N	0.770140	false	10
N	0.579377	true	10
N	0.090213	false	10
N	0.671942	false	10
N	0.622130	false	10
N	0.777306	true	10
N	0.055225	false	10
N	0.278201	true	10
N	0.937579	false	10
N	0.522092	true	10
N	0.273339	false	10
N	0.022813	false	10
N	0.151535	false	10
N	0.484352	true	10
N	0.924189	false	10
N	0.513023	false	10
N	0.352648	true	10
N	0.927237	true	10
N	0.461505	true	10
N	0.201270	false	10
N	0.352196	true	10
N	0.596642	true	10
N	0.304549	false	10
N	0.825062	true	10
N	0.444170	true	10
N	0.382932	false	10
N	0.455827	true	10
N	0.098568	true	10
N	0.575554	true	10
N	0.726456	true	10
N	0.161342	true	10
N	0.335959	false	10
N	0.943514	true	10
N	0.388490	false	10
N	0.339573	false	10
N	0.717294	false	10
N	0.165206	true	10
N	0.091943	true	10
N	0.840212	true	10
N	0.752461	true	10
N	0.009663	true	10
N	0.123310	true	10
N	0.035344	false	10
N	0.968206	false	10
N	0.322619	true	10
N	0.451703	true	10
N	0.780645	true	10
N	0.595210	false	10
N	0.909233	false	10
N	0.937149	true	10
N	0.583035	false	10
N	0.433243	true	10
N	0.813415	false	10
N	0.458284	false	10
N	0.938898	true	10
N	0.827175	false	10
N	0.744984	true	10
N	0.599709	false	10
N	0.986045	false	10
N	0.497926	true	10
N	0.176805	true	10
N	0.680141	false	10
N	0.968453	true	10
N	0.133838	false	10
N	0.496837	true	10
N	0.296560	true	10
